umur,min3sd,min2sd,min1sd,nolsd,plus1sd,plus2sd,plus3sd,jenis_kelamin,standard
0,47.24159098,48.10546549,49.05492927,50.65609671,52.26801941,53.64893509,55.08697954,Perempuan,Lokal
1,49.39161409,50.64911114,52.01011388,53.47960737,55.03419409,56.46503957,57.97773861,Perempuan,Lokal
2,51.35901865,52.94054908,54.61219679,56.0973134,57.6664512,59.18490024,60.79282795,Perempuan,Lokal
3,53.15700353,55.01344931,56.92143105,58.51566004,60.15579219,61.79339223,63.5144132,Perempuan,Lokal
4,54.79801348,56.89501881,58.99961333,60.75047459,62.50042731,64.28160505,66.13010826,Perempuan,Lokal
5,56.29512976,58.6039072,60.89360333,62.81762798,64.70284309,66.64504459,68.63143881,Perempuan,Lokal
6,57.66382663,60.15218872,62.62733135,64.7274046,66.76717425,68.88144232,71.01178528,Perempuan,Lokal
7,58.92343614,61.55184216,64.20422289,66.48530544,68.69788477,70.98881156,73.26442498,Perempuan,Lokal
8,60.0975714,62.8237567,65.61802498,68.09860436,70.49981976,72.96430496,75.38137263,Perempuan,Lokal
9,61.21291161,64.00381909,66.87846709,69.58494408,72.17877618,74.80421596,77.35355418,Perempuan,Lokal
10,62.29618623,65.13911672,68.04711038,70.9747205,73.74157618,76.50516882,79.17240026,Perempuan,Lokal
11,63.36996488,66.2726109,69.22489869,72.30009566,75.19538705,78.06606197,80.83225272,Perempuan,Lokal
12,64.44874855,67.42521953,70.4665008,73.57760916,76.54687023,79.48968376,82.33234311,Perempuan,Lokal
13,65.53714003,68.58937856,71.72691844,74.80285148,77.8015836,80.78267304,83.67712984,Perempuan,Lokal
14,66.63094744,69.73987632,72.92312416,75.96279667,78.96326346,81.95339234,84.87481688,Perempuan,Lokal
15,67.72042103,70.8527762,74.02232357,77.04937646,80.03282706,83.00911375,85.93535089,Perempuan,Lokal
16,68.79374563,71.9171054,75.04871633,78.05975144,81.00847889,83.9551666,86.8698772,Perempuan,Lokal
17,69.83923955,72.93279108,76.03059594,78.98973811,81.88892376,84.79782409,87.69274113,Perempuan,Lokal
18,70.84605443,73.90150322,76.96148469,79.83515843,82.67950823,85.54994679,88.4251029,Perempuan,Lokal
19,71.80441197,74.82074213,77.81395879,80.60234355,83.39787952,86.23587159,89.09749622,Perempuan,Lokal
20,72.70667125,75.68455569,78.58655537,81.31383675,84.07509732,86.89173903,89.74846968,Perempuan,Lokal
21,73.54969375,76.48747752,79.31420197,82.00075502,84.75068377,87.55944198,90.41808261,Perempuan,Lokal
22,74.33764215,77.22929981,80.02181524,82.69290899,85.46272817,88.27531377,91.1377773,Perempuan,Lokal
23,75.08336556,77.92169408,80.69958643,83.41747578,86.23531426,89.05758976,91.92077364,Perempuan,Lokal
24,75.80660581,78.59400563,81.35279189,84.19495732,87.06772883,89.89890563,92.75815912,Perempuan,Lokal
25,76.52862523,79.28862225,82.04693359,85.02372597,87.93319271,90.76969628,93.62403937,Perempuan,Lokal
26,77.26492449,80.04101175,82.85263271,85.8740048,88.79248408,91.63321604,94.48858776,Perempuan,Lokal
27,78.01922964,80.85683803,83.75422747,86.708909,89.61653962,92.46491698,95.3329584,Perempuan,Lokal
28,78.78172536,81.70695404,84.65780213,87.51153452,90.40240974,93.26472189,96.1583141,Perempuan,Lokal
29,79.53253011,82.54563294,85.4883995,88.28973175,91.17155685,94.05509797,96.98433977,Perempuan,Lokal
30,80.24887962,83.33500141,86.24815994,89.06263612,91.95428059,94.86740738,97.83852067,Perempuan,Lokal
